status_id,num_like,num_love,num_wow,num_haha,num_sad,num_angry
5281959998_10150974381639999,473,37,52,48,34,32
5281959998_10150974407924999,3891,71,644,9,2,2
5281959998_10150974384629999,705,13,154,18,8,42
5281959998_10150974267859999,2910,137,22,24,138,75
5281959998_10150974262424999,4794,64,425,169,531,204
5281959998_10150974257364999,6083,44,340,4418,128,1984
5281959998_10150974243489999,588,26,36,13,228,995
5281959998_10150974221934999,401,1,255,16,58,305
5281959998_10150974220989999,208,2,7,2,130,134
5281959998_10150974188829999,292,2,14,13,44,30
5281959998_10150974198454999,1874,73,278,73,1434,5395
5281959998_10150974179919999,107,5,0,0,0,0
5281959998_10150974175364999,144,2,8,2,35,20
5281959998_10150974159854999,966,11,26,457,18,102
5281959998_10150973339534999,1394,100,3,5,1,1
5281959998_10150972936764999,308,9,9,74,4,64
5281959998_10150973699814999,124,8,0,0,0,0
5281959998_10150973859459999,657,4,138,15,692,1011
5281959998_10150973613159999,319,43,0,1,0,0
5281959998_10150973852999999,478,41,0,0,0,0
5281959998_10150973792254999,1416,18,11,8,200,114
5281959998_10150973860279999,663,10,40,31,13,1
5281959998_10150973918299999,1383,17,265,66,419,2138
5281959998_10150973911399999,4033,80,37,34,451,310
5281959998_10150973888524999,852,8,180,46,25,653
5281959998_10150973926044999,284,5,88,26,20,217
5281959998_10150973837039999,207,13,1,2,0,0
5281959998_10150973840684999,3526,28,122,32,2105,3811
5281959998_10150973927969999,21,1,0,1,2,1
5281959998_10150973921249999,383,14,7,1,1278,153
5281959998_10150973754239999,180,2,20,2,63,210
5281959998_10150973306279999,1635,80,8,2,0,0
5281959998_10150973773759999,270,5,5,15,10,43
5281959998_10150973875664999,257,8,44,10,37,309
5281959998_10150973803544999,6825,36,1104,24,472,1527
5281959998_10150973192494999,913,29,30,1,0,0
5281959998_10150973779844999,215,2,9,8,29,3
5281959998_10150973785099999,24510,2019,42,349,4,20
5281959998_10150973784589999,777,113,15,7,6,5
5281959998_10150973733084999,1851,143,11,0,1,0
5281959998_10150973745924999,484,8,189,66,68,1504
5281959998_10150973723824999,8247,784,9,16,13,6
5281959998_10150973306794999,808,138,5,2,0,1
5281959998_10150973688469999,188,5,3,36,1,4
5281959998_10150973689189999,3833,238,12,47,8,6
5281959998_10150973661369999,259,23,0,2,0,0
5281959998_10150973659094999,507,5,100,8,320,964
5281959998_10150973498689999,93,6,1,0,5,0
5281959998_10150973613444999,71,8,0,0,0,0
5281959998_10150973605744999,31068,2793,106,121,25,19
5281959998_10150973555244999,13660,1823,37,92,7,8
5281959998_10150973515634999,198,5,36,6,197,317
5281959998_10150973496569999,70,10,1,0,17,0
5281959998_10150973478164999,868,2,41,169,38,210
5281959998_10150973372904999,55,3,0,0,0,0
5281959998_10150973426319999,5768,1303,46,7,1,1
5281959998_10150973393309999,533,75,8,17,0,7
