"","x","y","id"
"1",1124663,278428.4,"22035"
"2",1121377,273630.6,"22035"
"3",1120278,270190.9,"22035"
"4",1120400,269281.1,"22035"
"5",1126577,235396.8,"22035"
"6",1127073,234097.1,"22035"
"7",1127199,233899.7,"22035"
"8",1127443,233514.7,"22035"
"9",1127558,233334,"22035"
"10",1127749,233155.5,"22035"
"11",1128613,232349.9,"22035"
"12",1128815,232161.4,"22035"
"13",1131747,231114.8,"22035"
"14",1132351,229568.7,"22035"
"15",1097912,226417.8,"22035"
"16",1099024,231324.7,"22035"
"17",1101790,233722.9,"22035"
"18",1102797,236404.4,"22035"
"19",1106012,246933.9,"22035"
"20",1107959,259102.2,"22035"
"21",1108514,262343.6,"22035"
"22",1112281,272095,"22035"
"23",1115415,278427.2,"22035"
"24",1124663,278428.4,"22035"
"25",NA,NA,"22035"
"26",1115415,278427.2,"22123"
"27",1112281,272095,"22123"
"28",1108514,262343.6,"22123"
"29",1107959,259102.2,"22123"
"30",1106012,246933.9,"22123"
"31",1102797,236404.4,"22123"
"32",1101790,233722.9,"22123"
"33",1099024,231324.7,"22123"
"34",1088540,231277.4,"22123"
"35",1084746,239248.4,"22123"
"36",1080896,240633.7,"22123"
"37",1084713,250023.3,"22123"
"38",1098833,276050.7,"22123"
"39",1099456,278370.5,"22123"
"40",1115415,278427.2,"22123"
"41",NA,NA,"22123"
"42",1097155,278364.5,"22067"
"43",1099456,278370.5,"22067"
"44",1098833,276050.7,"22067"
"45",1084713,250023.3,"22067"
"46",1080896,240633.7,"22067"
"47",1080991,240202.7,"22067"
"48",1080028,237586.2,"22067"
"49",1078675,235334.6,"22067"
"50",1077716,234381.3,"22067"
"51",1071842,231750.6,"22067"
"52",1065439,229858,"22067"
"53",1058701,225498.5,"22067"
"54",1055153,222558.2,"22067"
"55",1040762,246566.4,"22067"
"56",1041193,246889.1,"22067"
"57",1041973,248348.7,"22067"
"58",1041899,254224,"22067"
"59",1038857,263812.6,"22067"
"60",1040269,278191.2,"22067"
"61",1097155,278364.5,"22067"
"62",NA,NA,"22067"
"63",1040269,278191.2,"22111"
"64",1038857,263812.6,"22111"
"65",1041899,254224,"22111"
"66",1041973,248348.7,"22111"
"67",1041193,246889.1,"22111"
"68",1040762,246566.4,"22111"
"69",1038751,243590.5,"22111"
"70",1026037,232168.9,"22111"
"71",1025013,231559.5,"22111"
"72",1022407,230877.9,"22111"
"73",1007974,230944.5,"22111"
"74",1007968,240615.9,"22111"
"75",993661.2,249117.8,"22111"
"76",990637.7,249916,"22111"
"77",986603,250524.6,"22111"
"78",978874.6,250558.6,"22111"
"79",978975,278819.3,"22111"
"80",1040269,278191.2,"22111"
"81",NA,NA,"22111"
"82",954333,279227.3,"22027"
"83",978975,278819.3,"22027"
"84",978874.6,250558.6,"22027"
"85",964248,231245.6,"22027"
"86",936284,231370.5,"22027"
"87",936709.6,236790.9,"22027"
"88",935632.6,245995.6,"22027"
"89",930869.4,245970.9,"22027"
"90",930982.5,279436.5,"22027"
"91",954333,279227.3,"22027"
"92",NA,NA,"22027"
"93",907444.1,279674.2,"22119"
"94",930982.5,279436.5,"22119"
"95",930869.4,245970.9,"22119"
"96",935632.6,245995.6,"22119"
"97",936709.6,236790.9,"22119"
"98",936284,231370.5,"22119"
"99",939159.9,219683.7,"22119"
"100",939173.2,216965.9,"22119"
"101",930706.5,212017.7,"22119"
"102",917908.7,212121.8,"22119"
"103",911465.8,212206.5,"22119"
"104",911053.4,221917.9,"22119"
"105",911472.7,251103.1,"22119"
"106",910915.8,263166.4,"22119"
"107",908376.1,265990,"22119"
"108",905255.8,270905.1,"22119"
"109",903614.6,274059.7,"22119"
"110",903664,275736.5,"22119"
"111",904599,279719.9,"22119"
"112",907444.1,279674.2,"22119"
"113",NA,NA,"22119"
"114",904599,279719.9,"22015"
"115",903664,275736.5,"22015"
"116",903614.6,274059.7,"22015"
"117",905255.8,270905.1,"22015"
"118",908376.1,265990,"22015"
"119",910915.8,263166.4,"22015"
"120",911472.7,251103.1,"22015"
"121",911053.4,221917.9,"22015"
"122",911465.8,212206.5,"22015"
"123",917908.7,212121.8,"22015"
"124",912529.8,192843.4,"22015"
"125",908468.3,193021.8,"22015"
"126",900544.2,204014.4,"22015"
"127",890292.1,209917.3,"22015"
"128",886699,222246.3,"22015"
"129",879797,246008.5,"22015"
"130",879014.6,251227.3,"22015"
"131",875964.5,278850.9,"22015"
"132",876115.1,279292.8,"22015"
"133",877168.4,280099.3,"22015"
"134",878067.2,280085.7,"22015"
"135",904599,279719.9,"22015"
"136",NA,NA,"22015"
"137",877168.4,280099.3,"22017"
"138",876115.1,279292.8,"22017"
"139",875964.5,278850.9,"22017"
"140",879014.6,251227.3,"22017"
"141",879797,246008.5,"22017"
"142",886699,222246.3,"22017"
"143",890292.1,209917.3,"22017"
"144",900544.2,204014.4,"22017"
"145",908468.3,193021.8,"22017"
"146",894949,193188.6,"22017"
"147",894995,196810,"22017"
"148",894167.8,198208,"22017"
"149",892053,200615.7,"22017"
"150",890152.3,202101.4,"22017"
"151",882553,204902.5,"22017"
"152",880919,205313.5,"22017"
"153",879130.2,204986.8,"22017"
"154",877730.5,204201.5,"22017"
"155",877198.4,203798.1,"22017"
"156",872326.2,198483.7,"22017"
"157",871989.2,196850.4,"22017"
"158",872158.6,196179.3,"22017"
