"","fips","name","pop_total","pop_nhWhite","pop_black","pop_Hisp","popPctBlk","popPctHisp","Households","HHEnglish","HHPctNonEnglish","HHPctLingIsolated","PctForeignBorn","FamMedInc","FamMedIncBlk","FamMedIncHisp","FamMedIncNHWht","PctPovBlk","PctPovHisp","PctPovNHWht","PctAllPov","PctCrowdedBlk","PctCrowdedHisp","PctCrowdedNHWht","HHmedValueBlk","HHmedValueHisp","HHmedValueNHWht","X","X2006.2005","X2007.2006"
"44",22087,"St. Bernard",67229,56900,4573,3506,0.068,0.0522,25065,22362,0.1078,0.014,0.03,42785,22070,32897,45093,0.3186,0.1499,0.0873,0.1311,0.104,0.0827,0.029,64600,84000,85800,NA,-78.01,38.8
"36",22071,"Orleans",484674,129215,322813,15032,0.666,0.031,188365,168104,0.1076,0.0174,0.0425,32338,25017,34077,62312,0.313,0.1694,0.0425,0.2794,0.1064,0.0925,0.0095,73700,86100,138500,NA,-43.67,9.2
"38",22075,"Plaquemines",26757,18401,6099,483,0.2279,0.0181,9001,7765,0.1373,0.0196,0.0278,42610,22873,35313,49509,0.3527,0.1393,0.0935,0.1803,0.1501,0.0515,0.0369,62400,71900,119500,NA,-22.22,-1.64
"12",22023,"Cameron",9991,9266,354,207,0.0354,0.0207,3592,2690,0.2511,0.0192,0.0156,39663,18295,24531,40720,0.4588,0.0426,0.0811,0.1235,0.0751,0.36,0.0645,39700,85000,61100,NA,-19.17,-4.1
"26",22051,"Jefferson",455466,298244,103335,32227,0.2269,0.0708,176424,147868,0.1619,0.0265,0.0748,45834,27747,38940,52466,0.271,0.1178,0.0555,0.1365,0.1158,0.1623,0.0216,74800,95100,116000,NA,-5.92,-1.11
"18",22035,"East Carroll",9421,2925,6323,116,0.6712,0.0123,2968,2805,0.0549,0.0027,0.0088,24554,16299,11827,36321,0.4869,0.6667,0.0824,0.4046,0.112,0.2353,0.0168,27900,32800,50400,NA,-5.37,-1.33
"33",22065,"Madison",13728,5030,8355,288,0.6086,0.021,4459,4294,0.037,0,0.0046,23589,16204,31944,36069,0.4448,0.1,0.1256,0.3665,0.1226,0.0556,0.0117,27800,NA,57800,NA,-4.07,-0.57
"58",22115,"Vernon",52531,37567,8405,3002,0.16,0.0571,18276,15874,0.1314,0.0101,0.0413,34680,29267,27350,35835,0.1914,0.1885,0.108,0.1525,0.0728,0.1374,0.0262,65000,61400,68100,NA,-3.49,-1.72
"34",22067,"Morehouse",31021,17172,13352,204,0.4304,0.0066,11410,11038,0.0326,0.0027,0.0035,31358,19161,31023,38832,0.3889,0.234,0.1013,0.2679,0.0879,0.1778,0.0297,32800,132100,61900,NA,-1.91,-2.02
"31",22061,"Lincoln",42509,24216,16758,398,0.3942,0.0094,15249,14281,0.0635,0.008,0.0212,38972,20386,29792,49518,0.3851,0.2,0.0651,0.2648,0.0651,0.0748,0.0125,55100,82000,88600,NA,-1.71,0.45
"7",22013,"Bienville",15752,8588,6923,116,0.4395,0.0074,6106,5879,0.0372,0.0018,0.0041,30241,19052,31250,37932,0.3696,0.1,0.1096,0.2608,0.0658,0.0667,0.0173,35300,55000,55800,NA,-1.64,-0.01
"21",22041,"Franklin",21263,14170,6650,87,0.3127,0.0041,7789,7504,0.0366,0.0019,0.006,27440,14103,24750,32450,0.5136,0.1538,0.1223,0.2844,0.1223,0.1579,0.0294,34200,87500,53000,NA,-1.43,0.12
"10",22019,"Calcasieu",183577,133607,43197,3166,0.2353,0.0172,68757,58029,0.156,0.0152,0.0137,41903,25410,39779,47615,0.2966,0.2188,0.0764,0.1543,0.0804,0.1186,0.0338,56400,84500,86400,NA,-1.17,0.58
"11",22021,"Caldwell",10560,8399,1896,159,0.1795,0.0151,3925,3698,0.0578,0.0028,0.0064,33653,16976,26250,36909,0.4198,0,0.1362,0.2125,0.0588,0,0.026,33400,52000,57900,NA,-1.17,-0.42
"9",22017,"Caddo",252161,131547,111962,3518,0.444,0.014,98066,91928,0.0626,0.0054,0.015,38872,24158,34042,50958,0.3159,0.1687,0.0649,0.2111,0.0955,0.145,0.0213,44800,86800,88600,NA,-0.98,-0.65
"15",22029,"Concordia",20247,12136,7603,283,0.3755,0.014,7538,7164,0.0496,0.0041,0.0128,28629,14320,29063,36241,0.4744,0.0323,0.127,0.2911,0.0845,0.1373,0.0239,34700,102500,62800,NA,-0.91,-1.19
"41",22081,"Red River",9622,5518,3959,71,0.4115,0.0074,3409,3279,0.0381,0.0062,0.0045,27870,15635,25833,36410,0.5212,0.0833,0.1012,0.2986,0.1286,0,0.0231,33500,33800,56500,NA,-0.88,-0.06
"13",22025,"Catahoula",10920,7798,2986,44,0.2734,0.004,4088,3927,0.0394,0.0029,8e-04,27206,16850,16500,31224,0.4472,0,0.1627,0.2814,0.0774,0,0.0367,29300,45000,55900,NA,-0.76,0.95
"59",22117,"Washington",43926,29357,13839,283,0.3151,0.0064,16454,15736,0.0436,0.0026,0.0042,29480,19021,26667,33993,0.3677,0.2308,0.1261,0.2469,0.0759,0.0614,0.0288,43300,53600,59500,NA,-0.71,2
"60",22119,"Webster",41831,27253,13679,289,0.327,0.0069,16506,15822,0.0414,0.0021,0.0066,35119,21515,26136,40252,0.3417,0.0714,0.0764,0.202,0.0674,0,0.0234,39200,45700,63900,NA,-0.67,-0.31
