"","name","pop_total","pop_nhWhite","pop_black","pop_Hisp","popPctBlk","popPctHisp","Households","HHEnglish","HHPctNonEnglish","HHPctLingIsolated","PctForeignBorn","FamMedInc","FamMedIncBlk","FamMedIncHisp","FamMedIncNHWht","PctPovBlk","PctPovHisp","PctPovNHWht","PctAllPov","PctCrowdedBlk","PctCrowdedHisp","PctCrowdedNHWht","HHmedValueBlk","HHmedValueHisp","HHmedValueNHWht","X","X2006.2005","ALLpop2005","ALLpop2006","ALLpop2007","ALLpc0506","ALLpc0507","ALLpc0607","Wpop2005","Wpop2006","Wpop2007","Wpc0506","Wpc0507","Wpc0607","WFpop2005","WFpop2006","WFpop2007","WFpc0506","WFpc0507","WFpc0607","WMpop2005","WMpop2006","WMpop2007","WMpc0506","WMpc0507","WMpc0607","Bpop2005","Bpop2006","Bpop2007","Bpc0506","Bpc0507","Bpc0607","BFpop2005","BFpop2006","BFpop2007","BFpc0506","BFpc0507","BFpc0607","BMpop2005","BMpop2006","BMpop2007","BMpc0506","BMpc0507","BMpc0607","Hpop2005","Hpop2006","Hpop2007","Hpc0506","Hpc0507","Hpc0607","HFpop2005","HFpop2006","HFpop2007","HFpc0506","HFpc0507","HFpc0607","HMpop2005","HMpop2006","HMpop2007","HMpc0506","HMpc0507","HMpc0607","Apop2005","Apop2006","Apop2007","Apc0506","Apc0507","Apc0607","AFpop2005","AFpop2006","AFpop2007","AFpc0506","AFpc0507","AFpc0607","AMpop2005","AMpop2006","AMpop2007","AMpc0506","AMpc0507","AMpc0607"
"22001","Acadia",58861,47069,10932,351,0.1857,0.006,21171,13530,0.3609,0.0369,0.0044,31812,17434,25938,35879,0.4332,0.2222,0.1663,0.2454,0.1027,0,0.0496,43000,99100,65100,NA,1.11,58804,59745,59958,1.60023127678389,1.96245153390926,0.356515189555611,46608,47105,47307,1.06634054239616,1.49974253347065,0.428829211336376,23869,24119,24216,1.04738363567808,1.45376848632117,0.402172561051453,22739,22986,23091,1.08623950041778,1.54800123136462,0.456799791177238,11118,11514,11509,3.56179168915273,3.51681957186544,-0.0434253951710961,5883,6093,6087,3.56960734319225,3.46761856195818,-0.0984736582964057,5235,5421,5422,3.55300859598854,3.57211079274117,0.0184467810367091,545,572,574,4.95412844036697,5.32110091743119,0.349650349650350,254,264,265,3.93700787401575,4.33070866141732,0.378787878787879,291,308,309,5.84192439862543,6.18556701030928,0.324675324675325,148,157,161,6.08108108108108,8.78378378378378,2.54777070063694,70,71,73,1.42857142857143,4.28571428571429,2.81690140845070,49,50,52,2.04081632653061,6.12244897959184,4
"22003","Allen",25440,17311,6010,1230,0.2362,0.0483,8127,6709,0.1745,0.0177,0.0058,33920,20878,31750,35961,0.3501,0.0625,0.1519,0.1991,0.0658,0.2453,0.0441,36400,78300,60000,NA,1.64,24890,25567,25524,2.71996785857774,2.54720771394134,-0.168185551687722,17013,17205,17164,1.12854875683301,0.887556574384294,-0.23830281894798,8433,8485,8454,0.616625163049923,0.249021700462469,-0.365350618738951,8580,8720,8710,1.63170163170163,1.51515151515152,-0.114678899082569,6004,6355,6340,5.84610259826782,5.5962691538974,-0.23603461841070,2204,2273,2270,3.13067150635209,2.99455535390200,-0.131984161900572,3800,4082,4070,7.42105263157895,7.10526315789474,-0.293973542381186,995,1099,1101,10.4522613065327,10.6532663316583,0.181983621474067,120,130,131,8.33333333333333,9.16666666666667,0.769230769230769,875,969,970,10.7428571428571,10.8571428571429,0.103199174406605,154,173,172,12.3376623376623,11.6883116883117,-0.578034682080925,257,258,260,0.389105058365759,1.16731517509728,0.775193798449612,224,226,228,0.892857142857143,1.78571428571429,0.88495575221239
"22005","Ascension",76627,58460,15123,1940,0.1974,0.0253,26773,24042,0.102,0.0087,0.0183,50626,26619,39522,55173,0.3237,0.1277,0.0572,0.1295,0.145,0.2772,0.0311,72200,89000,110800,NA,4.71,89056,95449,99056,7.17862917714696,11.2288896873877,3.77898144558874,67199,70176,72332,4.43012544829536,7.63850652539472,3.07227542179663,33783,35332,36408,4.58514637539591,7.77018026818222,3.04539793954489,33416,34844,35924,4.27340196313143,7.50538664113,3.09952933073126,17656,20547,21534,16.3740371545084,21.9642048028999,4.80362096656446,9454,10968,11479,16.0143854453142,21.4195049714407,4.65900802334063,8202,9579,10055,16.7885881492319,22.5920507193367,4.96920346591502,2843,3163,3499,11.2557157931762,23.0742173760113,10.6228264306039,1253,1397,1547,11.4924181963288,23.463687150838,10.7372942018611,1590,1766,1952,11.0691823899371,22.7672955974843,10.5322763306908,598,739,833,23.5785953177258,39.2976588628763,12.7198917456022,129,132,135,2.32558139534884,4.65116279069767,2.27272727272727,136,141,145,3.67647058823529,6.61764705882353,2.83687943262411
"22007","Assumption",23388,15473,7330,288,0.3134,0.0123,8217,5513,0.3291,0.0546,0.0082,36052,19724,26375,43811,0.4006,0.3608,0.106,0.2183,0.1272,0.0513,0.0309,56400,105800,83400,NA,-0.48,22859,23065,22991,0.901176779386675,0.577453081937093,-0.320832430088879,15014,14932,14915,-0.546156920207806,-0.65938457439723,-0.113849450843825,7674,7639,7621,-0.456085483450612,-0.690643732082356,-0.2356329362482,7340,7293,7294,-0.64032697547684,-0.626702997275204,0.0137117784176608,7284,7552,7475,3.67929708951126,2.62218561230093,-1.01959745762712,3848,3992,3955,3.74220374220374,2.78066528066528,-0.92685370741483,3436,3560,3520,3.60884749708964,2.44470314318976,-1.12359550561798,312,321,332,2.88461538461538,6.41025641025641,3.42679127725857,136,137,141,0.735294117647059,3.67647058823529,2.91970802919708,176,184,191,4.54545454545455,8.52272727272727,3.80434782608696,53,56,58,5.66037735849057,9.43396226415094,3.57142857142857,49,50,51,2.04081632653061,4.08163265306122,2,29,30,31,3.44827586206897,6.89655172413793,3.33333333333333
"22009","Avoyelles",41481,28134,12235,328,0.295,0.0079,14749,9776,0.3372,0.0482,0.0054,29389,14676,33750,35379,0.4788,0.2708,0.1294,0.2595,0.1195,0.0748,0.0263,40600,72500,58800,NA,0.77,41344,42332,42169,2.38970588235294,1.99545278637771,-0.385051497684966,27681,27874,27711,0.697229146345869,0.108377587514902,-0.584774341680419,14234,14331,14242,0.681466910214978,0.0562034565125755,-0.621031330681739,13447,13543,13469,0.713913884137726,0.163605265114896,-0.546407738314997,12471,13218,13210,5.98989656001925,5.92574773474461,-0.0605235285217128,6180,6581,6570,6.48867313915858,6.31067961165049,-0.167147849870840,6291,6637,6640,5.49992052137975,5.54760769353044,0.0452011450956758,353,375,375,6.23229461756374,6.23229461756374,0,182,192,192,5.49450549450549,5.49450549450549,0,171,183,183,7.01754385964912,7.01754385964912,0,86,97,96,12.7906976744186,11.6279069767442,-1.03092783505155,233,235,235,0.858369098712446,0.858369098712446,0,243,244,246,0.411522633744856,1.23456790123457,0.819672131147541
"22011","Beauregard",32986,27527,3933,554,0.1192,0.0168,12130,11223,0.0748,0.0044,0.0111,37886,24452,39444,39255,0.2665,0.0439,0.1128,0.1559,0.0408,0,0.0416,47000,63500,68300,NA,0.6,34264,34720,34776,1.33084286714919,1.49427971048331,0.161290322580645,28097,28210,28190,0.402178168487739,0.330996191764245,-0.0708968450903935,14092,14152,14129,0.425773488504116,0.262560317910871,-0.162521198417185,14005,14058,14061,0.378436272759729,0.399857193859336,0.0213401621852326,4624,4881,4866,5.55795847750865,5.23356401384083,-0.307314074984634,2218,2352,2345,6.0414788097385,5.7258791704238,-0.297619047619048,2406,2529,2521,5.11221945137157,4.77971737323358,-0.316330565440886,646,705,772,9.13312693498452,19.5046439628483,9.50354609929078,307,338,370,10.0977198697068,20.5211726384365,9.46745562130178,339,367,402,8.25958702064897,18.5840707964602,9.53678474114441,242,261,272,7.85123966942149,12.3966942148760,4.21455938697318,122,121,122,-0.819672131147541,0,0.826446280991736,122,122,124,0,1.63934426229508,1.63934426229508
"22013","Bienville",15752,8588,6923,116,0.4395,0.0074,6106,5879,0.0372,0.0018,0.0041,30241,19052,31250,37932,0.3696,0.1,0.1096,0.2608,0.0658,0.0667,0.0173,35300,55000,55800,NA,-1.64,15002,14896,14907,-0.706572457005733,-0.633248900146647,0.0738453276047261,8359,8213,8206,-1.74662040913985,-1.83036248355066,-0.0852307317667113,4247,4184,4184,-1.48340004709206,-1.48340004709206,0,4112,4029,4022,-2.01848249027237,-2.18871595330739,-0.173740382228841,6347,6377,6383,0.472664250827162,0.567197100992595,0.094088129214364,3414,3439,3448,0.73227885178676,0.995899238429994,0.261703983716197,2933,2938,2935,0.170473917490624,0.0681895669962496,-0.102110279101430,125,132,138,5.6,10.4,4.54545454545455,57,61,64,7.01754385964912,12.2807017543860,4.91803278688525,68,71,74,4.41176470588235,8.8235294117647,4.22535211267606,27,27,27,0,0,0,26,26,25,0,-3.84615384615385,-3.84615384615385,22,22,22,0,0,0
"22015","Bossier",98310,71755,20232,3105,0.2058,0.0316,36671,33435,0.0882,0.0101,0.0248,45542,23563,43606,50476,0.3132,0.1083,0.0569,0.1374,0.0838,0.1617,0.0184,59000,88400,91300,NA,1.45,105341,107653,108705,2.19477696243628,3.19343845226455,0.977213825903598,74950,75784,76416,1.11274182788526,1.95597064709807,0.833949118547451,37961,38337,38659,0.99049023998314,1.83872922209636,0.839919659858622,36989,37447,37757,1.23820595312120,2.07629295195869,0.82783667583518,22591,23604,23715,4.48408658315258,4.97543269443584,0.470259278088460,11916,12403,12463,4.08694192682108,4.59046659953004,0.483753930500685,10675,11201,11252,4.92740046838408,5.40515222482436,0.455316489599143,3876,4184,4408,7.94633642930857,13.7254901960784,5.35372848948375,1761,1896,2002,7.66609880749574,13.6854060193072,5.59071729957806,2115,2288,2406,8.17966903073286,13.7588652482270,5.15734265734266,1575,1673,1704,6.22222222222222,8.19047619047619,1.85295875672445,280,280,281,0,0.357142857142857,0.357142857142857,301,301,298,0,-0.996677740863787,-0.996677740863787
"22017","Caddo",252161,131547,111962,3518,0.444,0.014,98066,91928,0.0626,0.0054,0.015,38872,24158,34042,50958,0.3159,0.1687,0.0649,0.2111,0.0955,0.145,0.0213,44800,86800,88600,NA,-0.98,250411,253469,252609,1.22119235976055,0.877756967545355,-0.339291984424131,125385,123886,122831,-1.19551780516011,-2.03692626709734,-0.851589364415672,64938,64089,63501,-1.30740090547907,-2.21287997782500,-0.917474137527501,60447,59797,59330,-1.07532218306947,-1.84789981305937,-0.780975634229142,115273,119367,119239,3.55156888430075,3.44052813755173,-0.107232317139578,61776,63977,63894,3.56287231287231,3.42851592851593,-0.129734123200525,53497,55390,55345,3.5385161784773,3.45439931211096,-0.0812421014623578,4078,4304,4524,5.54193231976459,10.9367336929868,5.11152416356877,1870,1971,2068,5.40106951871658,10.5882352941176,4.92135971588026,2208,2333,2456,5.66123188405797,11.2318840579710,5.27218174024861,2311,2435,2446,5.36564257897014,5.84162700129814,0.451745379876797,553,560,571,1.26582278481013,3.25497287522604,1.96428571428571,572,581,584,1.57342657342657,2.09790209790210,0.516351118760757
"22019","Calcasieu",183577,133607,43197,3166,0.2353,0.0172,68757,58029,0.156,0.0152,0.0137,41903,25410,39779,47615,0.2966,0.2188,0.0764,0.1543,0.0804,0.1186,0.0338,56400,84500,86400,NA,-1.17,184549,183426,184512,-0.608510476892316,-0.0200488759082954,0.592064374734225,132602,130844,131398,-1.32577185864467,-0.907980271790772,0.423404970804928,67686,66843,67100,-1.24545696303519,-0.86576249150489,0.384483042352976,64916,64001,64298,-1.40951383326145,-0.951999507055271,0.464055249136732,45481,45868,46105,0.850904773421868,1.37200149512983,0.516700095927444,23658,23863,23994,0.866514498266971,1.42023839715952,0.548967020072916,21823,22005,22111,0.833982495532237,1.31970856435870,0.481708702567598,2719,2887,3111,6.1787421846267,14.4170650974623,7.75891929338414,1303,1380,1481,5.90943975441289,13.6607828089025,7.31884057971014,1416,1507,1630,6.42655367231638,15.1129943502825,8.16191108161911,1428,1500,1515,5.04201680672269,6.09243697478992,1,305,297,296,-2.62295081967213,-2.95081967213115,-0.336700336700337,336,329,333,-2.08333333333333,-0.892857142857143,1.21580547112462
