Fips;Rate;Count;Pop
1001;40.6;39;94428
1003;45.8;209;334693
1005;51;26;35542
1007;51.3;25;40501
1009;47.7;73;129875
1011;44.3;5;6380
1013;23.2;11;31799
1015;56.8;178;229011
1017;51.3;45;56845
1019;42.2;33;57895
1021;37.5;40;90431
1023;30.1;10;22212
1025;33.6;19;40122
1027;29.6;14;30229
1029;51.4;22;34359
1031;45.8;53;88092
1033;43.6;71;116436
1035;25.2;7;19657
1037;50.8;14;19122
1039;50;66;83123
1041;39.2;15;26461
1043;35.5;88;194219
1045;55.4;62;93607
1047;42;30;41199
1049;31.8;64;162257
1051;38.1;57;134650
1053;40.9;36;62786
1055;48.4;155;224494
1057;52.2;30;41000
1059;41.8;41;74216
1061;43;36;57640
1063;23.2;2;4870
1065;55.3;14;17689
1067;38.5;17;28248
1069;42.2;98;172523
1071;43.2;71;129436
1073;42.5;611;993481
1075;38.2;20;34745
1077;37.2;100;202504
1079;47.7;41;70927
1081;47.2;84;220373
1083;30.1;48;144080
1085;39.9;5;8996
1087;44.7;5;8620
1089;40.7;254;528215
1091;67.6;27;26836
1093;42;45;74159
1095;54.3;141;207655
1097;48.1;385;648813
1099;27.4;15;35659
1101;38.2;155;274058
1103;49.9;150;246994
1105;45.9;8;9499
1107;25.4;12;30216
1109;31.5;19;45884
1111;30.4;21;44648
1113;52.9;49;71869
1115;50.4;88;153798
1117;39.4;117;353042
1119;29.8;4;9462
1121;34.9;68;138432
1123;49.1;62;77483
1125;43.6;141;287626
1127;53.8;123;169134
1129;46.7;17;29759
1131;22.3;4;9414
1133;43.3;35;61994
2010; ;0;0
2013;0;0;1308
2016;0;0;4484
2020;45.7;145;492648
2050;0;0;5056
2060;0;0;1385
2068;0;0;1455
2070;32.3;1;2743
2090;52.5;50;161945
2100;46.7;2;4963
2110;37.4;16;59582
2122;60.2;54;108401
2130;34.5;7;25224
2150;21.5;2;20447
2164;0;0;832
2170;45.5;48;142129
2180;0;0;4194
2185;0;0;2993
2188;0;0;2189
2201;9.9;1;7127
2220;65.9;6;15204
2231; ;0;0
2232;0;0;4475
2240;87.8;6;11636
2261;38.4;6;18409
2270;0;0;803
2280;40.1;5;11923
2282;0;0;768
2290;0;0;1507
2900; ;0;0
2910; ;0;0
4001;45;17;37088
4003;41.9;152;273443
4005;35.8;50;199657
4007;39.9;78;110649
4009;22.2;17;63497
4011;10.7;2;18416
4012;25.8;20;40405
4013;38.1;3027;7417916
4015;67.2;430;400374
4017;33.4;46;123384
4019;36.3;939;2014686
4021;36.9;203;402262
4023;29.7;28;101544
4025;41.7;313;441666
4027;31.1;160;391226
4910; ;0;0
5001;46.2;27;39951
5003;42.6;24;43445
5005;51.5;104;99976
5007;37.3;176;402355
5009;57.4;69;88123
5011;34.9;13;21972
5013;39.9;6;10939
5015;35.4;32;64730
5017;72.8;18;15037
5019;35.4;20;45069
5021;53;35;43735
5023;53.1;52;62388
5025;38.8;8;18710
