state;Rate;Count;Lower;Upper;Pop;StdErr
AL;40.2;4095;39;41.4;8124753;0.6
AK;50;298;44.2;56.3;1089123;3.1
AZ;38.4;4794;37.3;39.5;10557561;0.6
AR;43.8;3079;42.3;45.4;5479988;0.8
CA;41.5;26931;41;42;64354973;0.3
CO;31.5;2723;30.3;32.7;9245273;0.6
CT;40.5;3917;39.2;41.8;7564699;0.7
DE;48.4;886;45.2;51.7;1508399;1.6
DC;32.1;156;27.2;37.8;477605;2.6
FL;43.3;21738;42.7;43.9;32132877;0.3
GA;41.1;5757;40.1;42.2;13355208;0.5
HI;39.5;293;35.1;44.3;702716;2.3
ID;33;981;31;35.2;2976963;1.1
IL;40.5;11791;39.8;41.3;25019625;0.4
IN;44.7;6972;43.7;45.8;13709823;0.5
IA;35.7;3262;34.5;37;7134532;0.6
KS;37.5;2725;36.1;39;6107184;0.7
KY;50.7;5315;49.3;52;9290388;0.7
LA;44.6;3833;43.2;46;7419703;0.7
ME;47.8;1846;45.7;50.1;3166560;1.1
MD;46.4;4871;45.1;47.7;8931737;0.7
MA;43.8;7855;42.8;44.8;14513415;0.5
MI;41.8;9859;41;42.6;20676760;0.4
MN;34.7;4305;33.7;35.8;11203217;0.5
MS;42.4;2361;40.7;44.2;4422565;0.9
MO;44;6584;43;45.1;12220351;0.5
MT;39.8;971;37.3;42.4;2072199;1.3
NE;33.3;1596;31.6;35;4017693;0.9
NV;55;2114;52.6;57.4;3706953;1.2
NH;45.6;1438;43.3;48.1;2964464;1.2
NJ;42.3;9088;41.4;43.1;16833110;0.4
NM;31.8;1293;30.1;33.6;3899455;0.9
NY;40.2;18308;39.6;40.8;36556760;0.3
NC;39.4;6882;38.5;40.4;14594460;0.5
ND;30.6;574;28.1;33.3;1527853;1.3
OH;44;13310;43.2;44.8;25184144;0.4
OK;45.3;3962;43.9;46.8;7041431;0.7
OR;46.6;4196;45.2;48;7772875;0.7
PA;38.2;14702;37.6;38.9;27820875;0.3
RI;45.5;1439;43.1;47.9;2449147;1.2
SC;40.2;3235;38.8;41.6;6733338;0.7
SD;30.5;659;28.2;33.1;1710003;1.2
TN;42.1;5759;41;43.2;11562716;0.6
TX;40;16134;39.4;40.7;42062472;0.3
UT;17.6;685;16.3;18.9;5036638;0.7
VT;39.6;651;36.6;42.8;1496293;1.6
VA;41.8;6031;40.7;42.9;13161522;0.5
WA;46.7;6233;45.6;47.9;12607778;0.6
WV;50.6;2967;48.8;52.5;4507940;0.9
WI;35.5;5162;34.5;36.5;12243999;0.5
WY;38.2;452;34.8;41.9;1171157;1.8
