County,Total Air Releases
"Abbeville, SC",3600.3
"Acadia, LA",6046
"Accomack, VA",45.3
"Ada, ID",131436.854
"Adair, IA",5663
"Adair, KY",0
"Adair, OK",0
"Adams, CO",162671.87
"Adams, IA",3574
"Adams, IL",841111.01
"Adams, IN",754054.58
"Adams, MS",3250
"Adams, NE",425535.37
"Adams, OH",9849922.2
"Adams, PA",41383.27
"Adams, WA",0
"Addison, VT",0
"Aguadilla, PR",35.95
"Aibonito, PR",250
"Aiken, SC",1180188.14
"Alachua, FL",1773242.35
"Alamance, NC",9732.68
"Alameda, CA",594346.46
"Albany, NY",327905.3787
"Albany, WY",66358.67
"Albemarle, VA",871.64
"Alcorn, MS",721404.41
"Aleutians West, AK",8240
"Alexander, IL",471092
"Alexandria City, VA",29597.5003
"Alger, MI",183285
"Allamakee, IA",350567
"Allegan, MI",137443
"Allegany, MD",1258087.9
"Alleghany, NC",1374
"Allegheny, PA",3919387.475
"Allen, IN",651541.8106
"Allen, KS",32826
"Allen, LA",27272.06
"Allen, OH",1231567.93
"Allendale, SC",100793.6
"Alpena, MI",792455.04
"Amador, CA",130386.98
"Amelia, VA",0
"Amherst, VA",226867.1
"Amite, MS",36993
"Anasco, PR",1000
"Anchorage, AK",9504.88
"Anderson, KS",44946.6
"Anderson, KY",3
"Anderson, SC",1605911.39
"Anderson, TN",4389996.228
"Anderson, TX",11215
"Andrews, TX",127280.02
"Androscoggin, ME",68132.1
"Angelina, TX",299585.0786
"Anne Arundel, MD",17561611.36
"Anoka, MN",83593.11
"Anson, NC",0.1
"Antrim, MI",5
"Apache, AZ",353324.38
"Appanoose, IA",0.5
"Appling, GA",38448.43
"Appomattox, VA",4.86
"Aransas, TX",27822.6
"Arapahoe, CO",101.02
"Arecibo, PR",16734.74
"Arkansas, AR",402821
"Arlington, VA",1003.24
"Armstrong, PA",17720243.2
"Aroostook, ME",310132.355
"Ascension, LA",1482873.235
"Ashe, NC",3323
"Ashland, OH",12954
"Ashland, WI",40560.7
"Ashley, AR",904270.7001
"Ashtabula, OH",8288048.7
"Assumption, LA",19424
"Atascosa, TX",66091.51
"Atchison, KS",44169
"Atkinson, GA",365375.64
"Atlantic, NJ",24172
"Audrain, MO",180253.64
"Auglaize, OH",137381.12
"Augusta, VA",387839.68
"Austin, TX",436
"Autauga, AL",1088558
"Avoyelles, LA",1927
"Bacon, GA",0
"Baker, FL",2336
"Baker, OR",2177.73
"Baldwin, AL",24462
"Ballard, KY",1107633.93
"Baltimore City, MD",1912350.891
"Baltimore, MD",2227278.482
"Bamberg, SC",27188
"Bannock, ID",8612.419
"Baraga, MI",250
"Barber, KS",0.7
"Barbour, AL",29353
"Barceloneta, PR",157385.25
"Barnstable, MA",65227.5
"Barnwell, SC",20.200104
"Barren, KY",26648.08
"Barron, WI",120018.18
