CustID	TripID	DatePch	SaleAmt	SalesQty
630001	93	2004-01-27	6317	6
630001	418	2005-09-30	4369	3
630182	139	2004-11-02	8087	3
630201	139	2004-11-02	8087	3
630532	94	2004-09-07	1539	1
630532	268	2005-06-23	5019	1
630532	516	2006-04-28	11149	1
630770	21	2004-06-07	2379	1
630770	84	2004-08-21	2299	1
630770	260	2005-08-10	1719	1
630770	198	2005-10-20	1024	2
630847	21	2004-05-28	2379	1
630847	144	2004-07-13	5709	1
630847	192	2005-07-08	1524	1
630847	244	2005-11-09	1669	1
630847	322	2005-11-17	3659	1
630847	411	2006-02-08	1652	1
630847	434	2006-03-29	1319	1
630912	121	2004-08-17	4248	2
630912	144	2005-01-24	7108	3
630912	422	2006-02-03	2798	1
631089	119	2004-08-20	2584	1
631089	188	2004-11-14	8723	3
631089	284	2005-12-12	2549	1
631091	66	2004-08-25	2396	3
631091	189	2004-10-27	6174	2
631135	5	2003-11-10	2553	1
631135	142	2005-04-27	10457	2
631135	283	2005-11-08	4229	3
631135	279	2005-11-08	4229	3
631681	37	2003-07-25	2694	3
631681	168	2004-08-19	1838	1
631681	290	2005-05-16	2227	2
631681	431	2006-05-10	2219	1
632087	288	2005-05-20	2127	2
632087	522	2006-05-10	8249	1
632640	139	2004-07-22	12257	5
634126	134	2004-05-17	5887	3
634126	206	2004-11-16	8918	3
634126	320	2005-12-15	4749	1
634325	24	2004-06-02	1771	1
634325	144	2004-07-13	5709	1
635107	188	2004-10-30	5574	1
635107	421	2005-09-28	2069	1
635753	36	2003-05-14	4874	3
635753	17	2003-05-14	2954	1
635753	66	2004-10-18	938	1
635753	166	2004-11-19	3459	1
635753	97	2004-12-09	968	1
635753	269	2006-03-08	2669	1
636206	26	2003-05-20	2479	1
636206	88	2004-07-13	3248	3
636206	274	2005-05-19	1419	4
636206	420	2005-10-03	1829	1
636206	236	2006-01-04	894	2
636206	476	2006-05-01	2298	2
636663	279	2005-11-03	8099	2
636663	283	2005-11-03	8099	2
637319	321	2005-08-01	7697	2
637483	142	2005-05-09	5338	3
637483	278	2005-07-14	3059	1
637483	282	2005-07-14	3059	1
638968	4	2003-09-26	2154	1
638968	61	2003-10-03	14000	11
638968	139	2005-03-16	410	1
638968	168	2005-03-16	164	2
638996	141	2004-04-23	10009	1
639235	430	2006-02-13	7671	1
640299	178	2005-08-01	3418	6
640299	185	2005-09-20	2277	3
640299	291	2006-04-17	2127	2
640299	309	2006-05-11	4804	1
640299	514	2006-05-12	3197	1
642521	21	2004-03-22	4154	3
642521	321	2005-08-01	7697	4
642521	235	2006-01-19	919	1
643264	438	2006-02-07	7171	2
643592	66	2004-06-23	2185	3
643592	257	2006-01-12	1719	1
643592	409	2006-04-26	2169	1
643592	460	2006-05-03	1919	1
643985	144	2004-04-27	6937	3
643985	180	2005-06-03	3643	3
645617	279	2006-02-16	4229	1
645617	283	2006-02-16	4229	1
646989	178	2005-06-07	4872	4
646989	320	2005-09-20	4649	1
648849	116	2004-06-15	2324	1
648849	147	2004-11-15	2759	2
648849	272	2005-04-15	2219	2
649451	438	2006-02-24	7171	1
650783	4	2003-12-04	754	1
650783	115	2004-02-09	2174	1
650783	185	2005-07-20	1828	1
650783	417	2005-11-17	3469	1
651097	54	2003-08-29	2899	1
651097	21	2004-04-22	4488	4
651097	166	2004-05-10	3384	4
651097	417	2005-10-03	3569	2
651185	39	2003-02-21	2404	4
651185	94	2004-08-30	1539	2
651185	185	2005-02-08	1808	3
651185	417	2005-11-17	3469	1
651208	36	2003-06-17	4818	2
651208	114	2004-01-17	1799	3
651208	144	2004-07-26	6109	1
651208	145	2004-09-23	3084	2
651208	245	2005-12-19	1424	2
651393	36	2003-11-17	5373	4
651393	93	2004-01-27	6148	4
651969	36	2003-11-17	5339	3
651969	93	2004-01-27	6148	4
652085	54	2003-02-20	3174	2
652085	515	2006-05-09	6549	1
652120	58	2003-08-22	9477	6
652120	179	2004-07-29	5702	3
652120	321	2005-07-28	5698	1
652120	429	2005-09-20	5959	1
652488	37	2003-05-22	2799	2
652488	67	2003-09-12	2038	4
652488	179	2004-07-26	5702	3
652488	300	2005-07-12	40	1
652488	246	2005-09-20	1969	1
652488	288	2005-09-20	2127	2
652488	466	2006-03-17	3378	1
652556	74	2004-01-23	3649	1
652556	208	2005-05-23	2574	2
652556	272	2005-11-13	2069	1
652556	480	2006-05-01	4898	1
652565	56	2003-09-09	8419	1
652565	189	2004-09-21	9467	4
652565	277	2005-08-04	3659	1
652753	19	2003-05-13	1448	1
652753	168	2004-05-18	1788	1
652753	288	2005-07-19	2127	2
652753	524	2006-05-18	2008	1
652772	15	2002-07-24	1832	3
652772	96	2003-12-29	1324	1
652772	75	2004-01-29	3418	2
652772	21	2004-05-28	2379	2
652772	147	2004-10-01	2859	2
652772	242	2005-02-08	3884	2
652772	288	2005-05-18	1628	1
652772	321	2005-08-01	5698	1
652772	454	2006-02-13	3919	1
652772	479	2006-05-10	4798	1
652772	525	2006-05-18	1808	1
652803	39	2003-03-25	2543	5
652803	6	2003-10-31	2482	3
652803	21	2004-02-12	4427	6
652803	74	2004-07-27	4867	6
652803	284	2005-07-18	3749	1
652803	185	2005-07-18	1828	1
652842	56	2003-11-07	8419	1
652863	3	2003-01-30	2254	1
652863	33	2003-05-29	1818	3
652863	246	2005-10-27	1769	1
652863	279	2006-04-10	4229	1
652863	283	2006-04-10	4229	1
653270	54	2003-01-14	2954	1
653270	93	2004-01-23	4749	1
653270	207	2004-11-03	3224	1
653270	269	2005-05-18	3919	2
653270	320	2005-08-17	4749	1
653270	505	2006-05-04	7098	1
653270	524	2006-05-19	2058	1
653325	39	2003-11-14	2454	1
653325	18	2004-03-19	99	6
653325	170	2004-05-17	1488	1
653325	94	2004-09-01	1539	1
653325	147	2004-09-29	2898	2
653325	288	2005-05-24	2027	2
653325	421	2005-09-27	2069	1
653557	143	2004-06-29	8309	1
653557	94	2004-11-13	1173	1
653557	283	2005-07-25	4559	1
653557	243	2005-09-17	3019	1
653557	467	2006-03-20	3878	1
653633	62	2003-09-16	10863	3
653641	54	2003-01-29	3054	1
653641	505	2006-05-12	7198	2
653806	21	2004-03-22	4193	4
653806	321	2005-08-01	7697	4
653806	235	2006-01-19	919	1
654074	17	2003-06-10	3143	2
654074	447	2006-05-02	6598	1
654136	46	2003-10-07	1854	1
654136	27	2004-05-10	2379	2
654136	160	2004-07-20	1784	1
654136	260	2005-06-09	1719	1
654480	40	2003-01-31	2354	1
654480	56	2004-01-16	8419	1
654480	21	2004-05-17	2818	2
654480	79	2005-03-11	1849	1
654480	285	2005-04-25	4048	2
654480	466	2006-03-14	3378	1
654481	25	2003-07-09	2579	1
654481	142	2004-07-13	5126	4
654481	487	2006-05-09	4349	1
654509	67	2003-11-05	1988	3
654509	305	2005-08-12	20	1
654509	185	2005-08-12	928	1
654509	395	2005-11-18	2428	1
654509	487	2006-05-09	4349	1
654615	142	2004-04-26	5388	2
654615	170	2005-03-21	963	2
654615	248	2005-05-16	1684	1
654615	210	2005-09-19	1394	2
654629	139	2004-06-28	8086	4
654906	39	2003-01-08	2504	4
654906	3	2003-01-30	2453	2
654906	144	2004-04-26	6188	2
654906	321	2005-07-27	5698	1
655145	38	2003-04-22	2604	4
655145	76	2004-04-15	2749	1
655145	246	2005-10-28	1769	1
655182	58	2003-09-11	9317	7
655182	321	2005-07-27	5698	1
655774	144	2004-06-21	5938	2
655774	321	2006-03-04	5857	2
655799	168	2004-06-22	1988	2
