MembID	Status	Gender	Age	MembDays	NumUses1st30d	NumUsesLast30d	TotalUses	FirstCkInDay	LastCkInDay	DaysSinceLastUse	TotalPaid	MonthlyAmt	MilesToClub	NumExtras1st30d	NumExtrasLast30d	TotalExtras	DaysSinceLastExtra
14874	M	F	59	95	10	9	33	2005-08-01	2005-10-29	2	53	28	5	0	0	0	
14873	M	M	39	98	0	0	0				92	46	2	0	0	0	
14872	M	M	29	94	15	10	39	2005-08-01	2005-10-25	6	59	32		0	0	0	
14871	M	M	25	95	2	2	6	2005-08-04	2005-10-20	11	36	19	0	0	0	0	
14870	M	M	20	96	4	9	20	2005-08-02	2005-10-27	4	44	23	0	0	0	0	
14869	M	M	16	102	0	0	0				0	15	0	0	0	0	
14868	C	M	65	3	0	0	0				44	24	4	0	0	0	
14867	M	M	55	104	4	0	6	2005-08-01	2005-08-20	72	48	24	2	0	0	0	
14866	M	M	49	94	0	0	0				63	34	33	0	0	0	
14865	M	F	45	95	4	0	4	2005-07-30	2005-08-11	81	132	28	3	0	0	0	
14864	M	F	43	95	1	0	2	2005-08-08	2005-09-26	35	250	38	7	0	0	0	
14863	M	M	40	92	16	8	31	2005-08-01	2005-10-28	3	81	45	5	0	0	0	
14862	M	F	38	109	9	16	48	2005-07-22	2005-10-29	2	113	17	7	2	2	10	11
14861	M	M	36	96	11	12	37	2005-07-28	2005-10-30	1	500			0	0	0	
14860	M	M	34	95	9	0	14	2005-08-01	2005-09-28	33	100		0	1	0	1	82
14859	M	M	32	105	10	8	31	2005-07-21	2005-10-27	4	500		2	6	0	10	44
14858	C	M	31	92	5	0	5	2005-07-28	2005-08-08	80	0		0	0	0	0	
14857	M	M	29	108	12	6	18	2005-07-18	2005-10-26	5	201	37	3	0	0	0	
14856	M	U	28	101	0	0	0				71	34	95	0	0	0	
14855	M	F	27	97	24	27	81	2005-07-29	2005-10-30	1	202	38	1	0	0	0	
14854	M	F	26	110	10	0	12	2005-07-18	2005-09-11	50	120	20	2	0	0	0	
14853	C	M	24	9	0	0	0				18	20	11	0	0	0	
14852	M	F	24	105	0	0	0				400			0	0	0	
14851	M	F	23	92	1	0	1	2005-08-03	2005-08-03	89	56	28		0	0	0	
14850	M	F	23	92	16	0	24	2005-08-01	2005-09-22	39	500		4	3	0	5	48
14849	M	F	21	95	5	1	8	2005-08-02	2005-10-17	14	64	34	9	0	0	0	
14848	M	U	20	95	0	0	1	2005-08-29	2005-08-29	63	132	28	74	0	0	0	
14847	C	F	18	29	12	12	12	2005-08-01	2005-08-25	3	0		12	0	0	0	
14846	C	F	17	91	4	0	4	2005-07-22	2005-07-26	86	51	24	43	0	0	0	
14845	M	U	55	95	13	0	16	2005-07-29	2005-09-05	56	13	7	3	0	0	0	
14844	M	U	41	95	0	0	0				0	24	3	0	0	0	
14843	M	U	33	95	1	0	4	2005-07-29	2005-09-27	34	53	28	7	0	0	0	
14842	C	U	28	83	2	0	2	2005-07-20	2005-08-02	65	40	20	9	0	0	0	
14841	C	U	25	1	0	0	0				174	23		0	0	0	
14840	M	U	21	97	7	0	14	2005-08-02	2005-09-26	35	55	28	7	0	0	0	
14839	M	M	17	95	0	0	0				53	28	3	0	0	0	
14838	M	M	72	92	11	0	17	2005-08-03	2005-09-26	35	450		4	3	0	3	87
14837	M	M	45	93	0	0	0				36	20	1	0	0	0	
14836	M	F	35	109	15	14	36	2005-07-16	2005-10-28	3	259	40	5	0	0	0	
14835	M	F	27	95	12	3	23	2005-08-03	2005-10-23	8	132	28	14	0	0	0	
14834	M	F	24	104	5	4	10	2005-08-08	2005-10-12	19	150	35	0	0	0	0	
14833	M	M	66	97	14	4	34	2005-07-28	2005-10-05	26	33	17	0	0	0	0	
14832	M	F	41	95	1	0	1	2005-08-01	2005-08-01	91	671		8	0	0	0	
14831	M	M	31	100	2	0	5	2005-07-27	2005-09-27	34	30	15	0	0	0	0	
14830	M	F	24	108	2	0	2	2005-07-19	2005-07-23	100	20	10	39	0	0	0	
14829	M	F	20	98	0	4	9	2005-08-29	2005-10-19	12	48	24	97	0	0	0	
