MembID	Status	Gender	Age	MembDays	NumUses1st30d	NumUsesLast30d	TotalUses	FirstCkInDay	LastCkInDay	DaysSinceLastUse	TotalPaid	MonthlyAmt	MilesToClub	NumExtras1st30d	NumExtrasLast30d	TotalExtras	DaysSinceLastExtra
2426	C	M	21	92	11	6	28	2004-05-29	2004-08-23	3	149		4	0	0	0	
324	C	M	18	98	11	6	31	2004-10-23	2005-01-25	2	136	27	0	0	0	0	
3026	C	F	21	30	3	3	3	2004-06-07	2004-06-21	9	100		0	0	0	0	
3027	C	M	21	92	6	1	9	2004-06-28	2004-09-06	11	129		5	0	0	0	
4865	C	M	45	31	24	24	24	2005-07-20	2005-08-14	4	75		2593	0	0	0	
2632	C	F	25	249	2	0	6	2004-06-21	2004-07-23	196	134	31	4	0	0	0	
3720	C	M	21	1	0	0	0				138	30	5	0	0	0	
651	C	F	20	92	16	4	30	2004-05-19	2004-08-06	12	149		4	0	0	0	
4091	C	F	35	322	12	0	38	2004-09-21	2005-03-17	138	582			1	0	6	253
1219	C	M	15	237	6	0	26	2004-12-24	2005-06-13	65	168	10	2	0	0	0	
327	C	M	16	104	13	0	18	2004-11-08	2004-12-17	62	147	15	0	0	0	0	
654	C	M	21	312	20	25	154	2004-07-31	2005-05-31	6	250	39	8	0	0	0	
3037	C	F	24	31	10	10	10	2004-07-27	2004-08-20	2	0		12	0	0	0	
1469	C	F	55	94	0	0	0				134	27	0	0	0	0	
655	C	M	20	114	18	4	45	2004-01-16	2004-04-21	17	152	37	5	0	0	0	
3039	C	M	24	409	6	6	114	2004-06-16	2005-07-19	1	140	29	2	0	0	0	
1470	C	M	56	79	0	0	1	2004-02-22	2004-02-22	36	101	36	1	0	0	0	
1945	C	F	42	554	5	0	5	2004-02-20	2004-03-11	531	241	30	4	2	0	2	545
4096	C	M	36	3	0	0	0				278	47		0	0	0	
3724	C	M	23	30	5	5	5	2004-06-13	2004-07-01	7	0		8	0	0	0	
1277	C	F	24	152	4	0	10	2004-07-26	2004-10-25	56	196	32	3	0	0	0	
2636	C	F	36	236	3	0	3	2004-03-10	2004-03-12	216	174		3	0	0	0	
663	C	U	18	245	1	0	1	2004-07-30	2004-07-30	237	37	18	2	0	0	0	
3041	C	F	25	61	3	2	5	2004-01-04	2004-02-15	16	164	40	0	0	0	0	
3727	C	F	24	92	4	1	7	2004-07-06	2004-09-17	8	129		0	0	0	0	
329	C	M	13	2	0	0	0				168	42	2	0	0	0	
1959	C	M	45	86	6	0	6	2004-06-24	2004-07-17	60	206	37	3	0	0	0	
2429	C	M	20	274	11	0	62	2004-03-01	2004-10-29	31	322	40	4	0	0	0	
1966	C	F	47	26	0	0	0				172	24	4	0	0	0	
2638	C	F	36	91	9	2	19	2005-01-22	2005-04-06	15	600		0	3	0	4	56
1279	C	U	26	232	2	0	2	2004-09-14	2004-09-20	220	136	28	4	0	0	0	
3729	C	M	24	241	4	0	6	2004-05-12	2004-06-25	195	297	45	2	0	0	0	
1973	C	M	49	437	1	0	1	2004-02-27	2004-02-27	434	39	7	0	0	0	0	
4098	C	M	37	14	0	0	0				699			0	0	0	
2430	C	F	20	156	1	2	19	2004-12-30	2005-05-12	21	122	23		0	0	0	
665	C	U	17	60	1	0	1	2004-08-01	2004-08-01	58	9	5	22	0	0	0	
3467	C	M	18	329	3	0	6	2004-03-10	2004-04-19	279	283	30	5	0	0	0	
4775	C	M	26	31	0	0	0				0		0	0	0	0	
2343	C	F	46	114	4	0	9	2004-02-12	2004-04-15	44	136	29	3	0	0	0	
3047	C	F	26	165	10	0	20	2004-11-28	2005-04-03	36	211	42	0	0	0	0	
2344	C	F	46	257	6	0	15	2004-07-08	2005-02-12	37	71	34	11	0	0	0	
3055	C	F	28	519	0	0	1	2004-05-10	2004-05-10	468	117	19	0	0	0	0	
2346	C	F	44	118	2	0	2	2004-04-02	2004-04-26	92	115	20	3	0	0	0	
2349	C	U	43	19	1	1	1	2004-07-06	2004-07-06	13	119	22	797	0	0	0	
3064	C	M	30	33	6	6	6	2005-03-15	2005-03-30	11	0		16	4	3	4	24
3068	C	M	31	84	2	4	8	2004-02-15	2004-04-26	7	144	32	0	1	0	2	52
1185	C	F	37	241	2	0	2	2004-08-08	2004-08-14	211	126	24	7	0	0	0	
669	C	U	14	103	2	1	10	2004-05-10	2004-07-11	28	26	7	438	0	0	0	
2433	C	F	19	325	4	0	6	2004-08-30	2004-09-30	281	163	29		0	0	0	
2648	C	F	33	345	6	1	71	2004-04-12	2005-02-25	24	150	26	4	0	0	0	
3740	C	M	27	422	0	0	14	2004-10-19	2005-08-02	86	54	30	9	0	0	0	
3076	C	M	33	365	4	2	12	2004-08-24	2005-08-12	5	0		8	0	0	0	
1493	C	M	18	90	5	3	11	2004-12-16	2005-03-07	6	0		0	0	0	0	
1494	C	U	19	7	0	0	0				126	24	8	0	0	0	
2305	C	F	23	291	3	0	9	2004-01-30	2004-07-22	113	118	20	0	0	0	0	
1496	C	F	19	92	1	0	1	2004-05-26	2004-05-26	83	199	22	0	0	0	0	
2017	C	F	29	187	0	0	6	2004-10-23	2004-11-16	104	176	49	0	0	0	0	
1497	C	M	20	426	2	0	16	2004-03-12	2004-07-13	282	168	45	1	0	0	0	
2020	C	F	28	4	1	1	1	2004-11-24	2004-11-24	3	145	32	0	0	0	0	
2021	C	M	28	29	24	24	24	2004-02-23	2004-03-18	3	100		3	0	0	0	
2022	C	F	28	30	0	0	0				0		5	0	0	0	
2023	C	F	28	400	0	0	3	2004-04-30	2004-08-21	223	58	29	10	0	0	0	
3084	C	F	34	85	5	0	5	2004-12-16	2005-01-13	55	69	34	3	0	0	0	
2028	C	M	27	91	20	12	50	2004-06-29	2004-09-26	1	278	37	3	0	0	0	
1498	C	M	20	1	0	0	0				169	49	5	0	0	0	
4864	C	M	42	31	0	0	0				0		0	0	0	0	
2031	C	M	26	29	13	13	13	2004-02-14	2004-03-08	1	0		8	0	0	0	
2435	C	U	17	637	8	0	27	2004-01-20	2005-07-25	74	118	22	3	0	0	0	
2035	C	M	25	477	1	0	1	2004-05-31	2004-05-31	471	132	27	0	0	0	0	
4114	C	F	44	120	0	0	0				69	20		0	0	0	
3446	C	F	26	351	8	0	12	2004-09-15	2005-02-10	201	238	39	5	0	0	0	
1222	C	F	42	164	3	0	3	2004-04-04	2004-04-14	141	0		2	2	0	2	141
1502	C	M	21	31	0	0	0				0		2	0	0	0	
90	C	F	53	1	0	0	0				120	20	2	0	0	0	
1289	C	M	29	2	0	0	0				559		10	0	0	0	
2039	C	F	24	92	1	0	5	2004-06-27	2004-07-26	39	149		0	0	0	0	
3552	C	F	53	159	8	1	36	2005-02-23	2005-06-29	30	83	42	3	0	0	0	
2660	C	F	31	92	4	0	5	2005-04-02	2005-04-30	60	0		3	0	0	0	
3447	C	F	26	1	0	0	0				151	35	4	0	0	0	
1225	C	F	29	30	0	0	0				0		6	0	0	0	
2045	C	M	22	258	0	0	1	2005-01-29	2005-01-29	179	0		16	0	0	0	
2664	C	M	30	118	0	0	0				215	42	6	0	0	0	
2047	C	F	22	182	1	0	1	2004-11-01	2004-11-01	180	62	34	1	0	0	0	
2049	C	F	21	219	0	0	1	2005-01-23	2005-01-23	109	176	49	0	0	0	0	
2050	C	F	21	177	5	0	6	2004-09-09	2004-10-19	135	165	32	13	0	0	0	
2053	C	F	20	30	13	13	13	2004-04-07	2004-04-29	6	100		3	0	0	0	
91	C	F	52	89	11	1	20	2005-02-02	2005-04-03	27	0		2	0	0	0	
16	C	M	35	387	6	0	25	2004-08-30	2005-01-21	236	149	34	2	0	0	0	
693	C	F	52	30	9	9	9	2004-09-04	2004-10-01	1	0			0	0	0	
3753	C	F	30	182	4	2	23	2004-02-11	2004-07-21	8	0		6	0	0	0	
4121	C	M	49	90	1	0	2	2004-09-28	2004-10-21	39	168	39		0	0	0	
1227	C	F		166	0	0	0				0	39	4	0	0	0	
1229	C	U	19	3	1	1	1	2005-03-14	2005-03-14	1	245	32	46	0	0	0	
696	C	F	50	1	0	0	0				231	27	5	0	0	0	
2059	C	M	14	286	5	0	10	2004-05-24	2004-11-10	110	145	32	2	0	0	0	
697	C	F	50	31	4	4	4	2004-05-17	2004-06-10	1	125		9	0	0	0	
2443	C	M	56	176	14	3	35	2004-10-31	2005-04-21	1	137	20	6	0	0	0	
1511	C	M	23	242	5	0	5	2004-04-14	2004-04-21	234	286	40	0	0	0	0	
2061	C	U	65	310	7	2	46	2004-08-17	2005-05-23	28	109	15	4	1	0	1	301
356	C	F	31	185	0	0	0				264	42	0	0	0	0	
3759	C	F	30	31	2	2	2	2004-08-09	2004-08-27	3	0		6	0	0	0	
2666	C	F	29	1	0	0	0				253	36		0	0	0	
2064	C	F	56	221	7	0	11	2005-02-02	2005-05-02	130	107	16	6	0	0	0	
1231	C	M	22	31	11	11	11	2004-12-20	2005-01-09	9	0		1480	0	0	0	
2445	C	M	54	327	2	0	30	2004-09-25	2005-06-01	62	131	21	8	0	0	0	
2446	C	F	54	71	10	18	33	2005-02-07	2005-04-07	1	83	43	16	0	0	0	
3762	C	M	32	31	0	0	0				0		3	0	0	0	
2449	C	F	51	19	3	3	3	2004-03-29	2004-04-05	5	20		0	0	0	0	
2067	C	F	52	31	13	13	13	2004-12-06	2005-01-03	1	0		0	0	0	0	
1232	C	U	23	89	8	0	10	2004-05-24	2004-07-12	35	149		44	0	0	0	
712	C	M	44	246	12	0	18	2004-06-01	2004-12-01	58	166	45	14	0	0	0	
1233	C	U	24	89	3	0	9	2004-04-27	2004-06-22	31	149		112	0	0	0	
1234	C	U	25	483	0	0	3	2004-06-09	2004-07-01	420	263	35	53	0	0	0	
1298	C	F	33	70	0	0	0				45	10	18	0	0	0	
719	C	M	41	181	7	0	7	2004-11-20	2004-12-04	156	283	40	9	0	0	0	
3113	C	M	25	133	1	0	1	2005-02-20	2005-02-20	129	138	28	0	0	0	0	
1520	C	F	25	23	3	3	3	2005-04-06	2005-04-16	7	0		2	0	0	0	
363	C	F	29	315	5	0	20	2004-10-11	2005-04-06	129	309	39	8	0	0	0	
2671	C	M	28	80	0	0	0				50	25	16	0	0	0	
4140	C	F	24	4	0	0	0				122	24		0	0	0	
723	C	F	39	222	6	0	31	2004-07-07	2004-11-10	83	139	30	0	0	0	0	
3116	C	M	26	234	2	0	7	2004-01-20	2004-07-06	53	296	40	0	0	0	0	
4141	C	M	23	61	12	4	16	2004-10-10	2004-11-18	17	125			0	0	0	
1235	C	U	26	89	20	0	28	2005-04-28	2005-06-23	31	149		65	0	0	0	
1236	C	U	27	89	2	0	2	2004-03-11	2004-03-21	75	127		86	0	0	0	
4142	C	F	24	86	4	0	4	2005-02-15	2005-03-01	57	66	37		0	0	0	
3117	C	M	26	259	4	0	96	2005-02-14	2005-09-06	41	75	42	5	0	0	0	
17	C	U	35	392	1	1	9	2004-06-09	2005-06-18	2	32	16	14	0	0	0	
2673	C	U	29	504	4	0	14	2004-02-02	2005-01-10	157	136	20	3	0	0	0	
728	C	F	38	2	0	0	0				93	44	8	0	0	0	
3120	C	F	27	214	0	0	0				68	34	7	0	0	0	
3770	C	F	34	31	1	1	1	2005-01-20	2005-01-20	30	0		0	0	0	0	
2354	C	F	40	520	2	2	49	2004-02-15	2005-07-03	8	265	37	1	0	0	0	
370	C	F	28	580	4	0	21	2004-03-03	2005-06-27	97	132	25	2	0	0	0	
2677	C	F	28	170	8	1	29	2004-11-10	2005-04-11	16	130	25	8	0	0	0	
4773	C	F	25	2	0	0	0				164	28	5	0	0	0	
1527	C	F	26	472	10	0	109	2004-07-13	2005-09-13	41	175	23	2	11	0	18	426
733	C	M	37	17	2	2	2	2004-04-12	2004-04-14	12	802		0	0	0	0	
93	C	U	50	307	7	0	10	2004-12-17	2005-01-27	264	128	20	0	0	0	0	
2680	C	M	28	273	18	0	19	2004-11-15	2004-12-16	240	274	37	433	3	0	3	247
4850	C	M	23	31	0	0	0				0		0	0	0	0	
2081	C	U	38	117	10	0	14	2004-03-29	2004-06-17	35	115	19		0	0	0	
4147	C	F	23	141	1	2	12	2004-03-10	2004-06-30	22	281	50		0	0	0	
2082	C	F	37	6	0	0	0				141	30	3	0	0	0	
4148	C	M	22	151	7	6	23	2004-02-20	2004-07-14	2	72	34		0	0	0	
172	C	F	34	1	0	0	0				559		32	0	0	0	
375	C	F	27	178	1	0	1	2005-03-09	2005-03-09	166	132	27	12	0	0	0	
2684	C	F	27	1	0	0	0				600			0	0	0	
2313	C	M	21	127	10	0	25	2004-11-01	2005-01-26	37	176	25	4	5	0	5	101
2085	C	F	35	92	3	0	3	2004-11-01	2004-11-11	76	0		17	0	0	0	
2086	C	F	34	307	0	0	2	2005-01-18	2005-01-23	266	146	21	1	0	0	0	
1310	C	F	41	83	1	0	1	2004-10-31	2004-10-31	80	117	20	3	0	0	0	
3778	C	F	36	330	0	0	2	2004-07-03	2004-07-07	279	175	46	1	0	0	0	
4812	C	F	22	40	1	2	2	2005-08-16	2005-08-23	8	50	24	5	0	0	0	
2466	C	M	41	2	0	0	0				600		8	0	0	0	
2316	C	F	20	241	0	0	0				117	20	0	0	0	0	
2093	C	M	30	146	11	7	36	2004-09-28	2005-02-15	1	298	44		0	0	0	
4153	C	F	21	72	7	0	7	2004-06-03	2004-06-24	42	134	28		0	0	0	
3787	C	M	38	64	0	0	0				41	20	9	0	0	0	
2362	C	M	37	296	17	0	61	2004-06-23	2004-12-23	112	261	40	3	1	0	1	289
3139	C	U	30	269	10	0	18	2004-05-26	2004-08-03	196	44	21	2	0	0	0	
2095	C	M	29	304	4	4	38	2004-09-09	2005-06-27	8	582			3	0	4	258
4155	C	M	20	42	5	4	5	2004-08-26	2004-09-14	20	134	27		3	3	3	15
747	C	M	33	91	7	0	9	2004-01-30	2004-03-24	33	0		4	0	0	0	
4156	C	M	20	182	0	0	4	2005-06-01	2005-06-27	113	0	48		0	0	0	
1315	C	M	45	3	1	1	1	2004-01-25	2004-01-25	2	135	28	7	0	0	0	
1532	C	M	27	4	1	1	1	2004-06-07	2004-06-07	2	58	29	3	0	0	0	
3141	C	F	29	30	6	6	6	2004-04-24	2004-05-19	4	100		0	5	5	5	16
749	C	M	33	287	1	0	5	2004-03-25	2004-07-01	181	20	10		0	0	0	
4770	C	M	23	31	16	16	16	2005-08-14	2005-09-09	2	0		1	0	0	0	
3454	C	M	24	186	0	0	0				0	17	0	0	0	0	
3789	C	F	39	92	0	0	0				0		12	0	0	0	
3475	C	M	17	95	6	1	7	2005-04-21	2005-06-23	25	150	35	3	0	0	0	
3572	C	M	48	179	4	6	20	2004-01-21	2004-07-12	4	123	22	3	0	0	0	
2102	C	F	26	253	3	0	3	2004-08-08	2004-08-11	246	123	22	7	0	0	0	
2698	C	U	25	155	7	0	9	2004-03-17	2004-04-26	111	41	20	3	0	0	0	
752	C	M	32	169	2	0	8	2005-01-11	2005-05-03	36	251	39	0	0	0	0	
4159	C	M	19	31	8	8	8	2004-12-05	2004-12-28	7	0			0	0	0	
2106	C	M	23	312	11	0	16	2004-05-17	2004-06-26	267	173	45	7	0	0	0	
3792	C	F	40	182	21	0	47	2004-02-12	2004-06-15	56	50		6	4	0	6	136
3794	C	F	41	247	3	1	10	2004-12-05	2005-07-12	27	100		3	0	0	0	
2110	C	U	23	33	7	6	7	2004-01-17	2004-01-28	20	115	21	0	0	0	0	
1239	C	U	30	89	4	2	20	2005-01-06	2005-02-20	28	149		900	0	0	0	
2111	C	M	22	92	21	12	57	2004-06-23	2004-09-04	18	129		3	0	0	0	
754	C	M	31	31	1	1	1	2004-09-03	2004-09-03	27	0		15	0	0	0	
4161	C	U	18	60	6	0	6	2004-02-03	2004-02-28	32	28	16		0	0	0	
4162	C	M	17	92	4	7	17	2004-05-22	2004-08-15	2	99			0	0	0	
