SubtID	SubtDays	Status	SubtStartYear	Source	PaymentMethod	MetroArea
95876	36	Stop	2004	Outdoor	Check	Region
95878	41	Stop	2002	Phone	Check	Primary
96876	13	Stop	2002	Phone	Check	Primary
96878	47	Stop	2001	Phone	Check	Primary
97877	165	Stop	2002	Phone	Check	Region
98878	33	Stop	2001	Phone	Check	Primary
100878	13	Stop	2001	Phone	Check	Primary
101876	13	Stop	2002	Other	Check	Primary
101877	13	Stop	2000	Other	Check	Primary
101878	72	Stop	2003	Phone	Check	Primary
102877	56	Stop	2001	Outdoor	Check	Primary
102878	73	Stop	2001	Phone	Check	Primary
103877	88	Stop	2001	Phone	Check	Primary
104876	64	Stop	2001	Phone	Check	Primary
104877	13	Stop	2001	Phone	Check	Primary
106877	230	Stop	2002	Direct Mail	Check	Primary
106878	112	Stop	2002	Phone	Check	Primary
107876	95	Stop	2001	Phone	Check	Primary
107877	1070	Stop	2002	Voluntary	Check	Primary
107878	32	Stop	2002	Phone	Check	Region
108877	202	Stop	2001	Voluntary	Check	Primary
109877	6	Stop	2002	Other	Check	Region
109878	84	Stop	2002	Phone	Check	Primary
110876	54	Stop	2003	Voluntary	Check	Region
110877	28	Stop	2002	Phone	Check	Region
110878	8	Stop	2004	Phone	Check	Region
111877	36	Stop	2001	Phone	Check	Primary
111878	238	Stop	2003	Phone	CreditCard	Primary
112876	4	Stop	2004	Phone	Check	Primary
112877	68	Stop	2002	Phone	Check	Primary
113878	13	Stop	2001	Phone	Check	Region
114876	137	Stop	2003	Phone	Check	Primary
114878	13	Stop	2003	Other	Check	Primary
115876	190	Stop	2002	Phone	Check	Primary
115877	27	Stop	2003	Outdoor	Check	Primary
116877	62	Stop	2002	Phone	Check	Primary
116878	26	Stop	2002	Phone	Check	Primary
117877	78	Stop	2001	Phone	Check	Primary
117878	127	Stop	2001	Outdoor	Check	Primary
118876	55	Stop	2002	Phone	Check	Primary
118878	11	Stop	2001	Phone	Check	Primary
119878	13	Stop	2001	Phone	Check	Primary
120876	68	Stop	2003	Phone	Check	Primary
120877	35	Stop	2003	Outdoor	Check	Region
121877	69	Stop	2004	Outdoor	Check	Primary
122876	34	Stop	2000	Phone	Check	Primary
122878	58	Stop	2001	Phone	Check	Primary
123877	13	Stop	2002	Phone	Check	Primary
123878	83	Stop	2000	Phone	Check	Primary
124877	13	Stop	2002	Phone	Check	Primary
125876	188	Stop	2001	Phone	Check	Primary
125878	19	Stop	2002	Phone	Check	Primary
126876	69	Stop	2003	Outdoor	Check	Primary
126877	27	Stop	2002	Voluntary	Check	Region
127876	65	Stop	2002	Phone	Check	Primary
127878	479	Stop	2001	Voluntary	CreditCard	Primary
128878	991	Active	2002	Direct Mail	Check	Primary
129876	1193	Stop	2001	Voluntary	Check	Primary
129877	71	Stop	2001	Phone	Check	Primary
130877	362	Stop	2001	Direct Mail	Check	Primary
130878	58	Stop	2002	Phone	Check	Primary
131876	13	Stop	2002	Phone	Check	Primary
132878	486	Stop	2001	Phone	Check	Primary
133876	13	Stop	2002	Other	Check	Primary
134876	167	Stop	2004	Direct Mail	CreditCard	Primary
134877	27	Stop	2002	Phone	Check	Primary
134878	4	Stop	2001	Phone	Check	Primary
135876	139	Stop	2004	Outdoor	Check	Primary
135877	13	Stop	2002	Phone	Check	Region
135878	391	Stop	2001	Direct Mail	Check	Primary
136876	98	Stop	2004	Phone	Check	Primary
136878	83	Stop	2002	Phone	Check	Region
137877	501	Stop	2001	Direct Mail	Check	Primary
137878	93	Stop	2002	Outdoor	Check	Primary
138876	61	Stop	2002	Other	Check	Primary
138878	13	Stop	2001	Phone	Check	Primary
139876	63	Stop	2002	Phone	Check	Primary
139877	138	Stop	2002	Outdoor	Check	Primary
140876	411	Stop	2001	Outdoor	Check	Primary
140877	10	Stop	2001	Phone	Check	Primary
140878	67	Stop	2003	Phone	Check	Primary
141876	286	Stop	2003	Direct Mail	Check	Primary
141878	67	Stop	2003	Phone	Check	Primary
142877	92	Stop	2003	Outdoor	Check	Primary
143876	13	Stop	2002	Phone	Check	Primary
145876	85	Stop	2003	Outdoor	Check	Primary
145878	69	Stop	2004	Other	Check	Primary
146876	48	Stop	2000	Phone	Check	Primary
146877	391	Stop	2002	Phone	Check	Primary
146878	1115	Active	2002	Voluntary	CreditCard	Primary
147876	23	Stop	2002	Phone	Check	Primary
148877	202	Stop	2003	Voluntary	Check	Region
149876	315	Stop	2002	Direct Mail	CreditCard	Primary
149877	35	Stop	2002	Phone	Check	Region
149878	78	Stop	2002	Phone	Check	Region
150876	6	Stop	2001	Phone	Check	Primary
150877	44	Stop	2004	Outdoor	Check	Primary
150878	48	Stop	2003	Outdoor	Check	Primary
151876	94	Stop	2001	Phone	Check	Primary
151877	13	Stop	2003	Phone	Check	Primary
