zip	population	DivCode
00601	19143	0
00602	42042	0
00603	55592	0
00604	3844	0
00606	6449	0
00610	28005	0
00612	72865	0
00616	10525	0
00617	23223	0
00622	8284	0
00623	38627	0
00624	26719	0
00627	35244	0
00631	2169	0
00637	25935	0
00638	19648	0
00641	35095	0
00646	34114	0
00647	5352	0
00650	12207	0
00652	2903	0
00653	16536	0
00656	23072	0
00659	38925	0
00660	16614	0
00662	42178	0
00664	17318	0
00667	26637	0
00669	32246	0
00670	11174	0
00674	45874	0
00676	39697	0
00677	14767	0
00678	27271	0
00680	75090	0
00682	25138	0
00683	35165	0
00685	44649	0
00687	29965	0
00688	13501	0
00690	5249	0
00692	35223	0
00693	64054	0
00698	46384	0
00703	28752	0
00704	7593	0
00705	26493	0
00707	12741	0
00714	19117	0
00715	2268	0
00716	38859	0
00717	23083	0
00718	23753	0
00719	29921	0
00720	23844	0
00723	20152	0
00725	144024	0
00728	52069	0
00729	50982	0
00730	38828	0
00731	21351	0
00735	18004	0
00736	49673	0
00738	38173	0
00739	40450	0
00740	2539	0
00741	5819	0
00745	52362	0
00751	23895	0
00754	40997	0
00757	21665	0
00765	9106	0
00766	27913	0
00767	39246	0
00769	37597	0
00771	34485	0
00772	24890	0
00773	19817	0
00775	1868	0
00777	36452	0
00778	36743	0
00780	10017	0
00782	18897	0
00783	36867	0
00784	43926	0
00791	53216	0
00794	28909	0
00795	50531	0
00901	7418	0
00906	545	0
00907	22173	0
00909	7671	0
00911	9345	0
00912	7992	0
00913	10893	0
00915	35993	0
00917	26165	0
00918	18144	0
00920	19424	0
00921	45230	0
00923	31410	0
00924	62205	0
00925	8101	0
00926	102545	0
00927	16560	0
00934	722	0
00949	81694	0
00952	12028	0
00953	62470	0
00956	80844	0
00957	50620	0
00959	53465	0
00961	39407	0
00962	30071	0
00965	9397	0
00966	15785	0
00968	3885	0
00969	48787	0
00971	29136	0
00976	73465	0
00979	18681	0
00982	14641	0
00983	47396	0
00985	60824	0
00987	40879	0
01001	16475	1
01002	36776	1
01005	5079	1
01007	12997	1
01008	1234	1
01010	3350	1
01011	2085	1
01012	521	1
01013	22963	1
01020	29325	1
01022	2365	1
01026	1079	1
01027	17493	1
01028	14195	1
01029	581	1
01030	11669	1
01031	1243	1
01032	201	1
01033	6134	1
01034	1929	1
01035	4793	1
01036	5076	1
01037	740	1
01038	2652	1
01039	1085	1
01040	39838	1
01050	2385	1
01053	1514	1
01054	1453	1
01056	21149	1
01057	8299	1
01060	16261	1
01062	11172	1
01068	1713	1
01069	9879	1
01070	548	1
01071	1649	1
